s2s_policy_name,ike_version,ike_policy,preshared_key,device_name,device_interface_name,protected_network_name,remote_device_name,remote_device_ip,is_dynamic_ip,remote_protected_network_name
BAYER,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,BAYER_PEER,149.234.192.80,FALSE,IPv4-Private-172.16.0.0-12
MEDQ-VPN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MEDQ-VPN_PEER,208.67.249.170,FALSE,IPv4-Private-172.16.0.0-12
TTEC,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,TTEC_PEER,168.215.186.43,FALSE,IPv4-Private-172.16.0.0-12
IMBIO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,IMBIO_PEER,18.221.10.65,FALSE,IPv4-Private-172.16.0.0-12
REDOX,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,REDOX_PEER,52.205.166.91,FALSE,IPv4-Private-172.16.0.0-12
OPTUM-BOSTON,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,OPTUM-BOSTON_PEER,162.247.173.15,FALSE,IPv4-Private-172.16.0.0-12
EXCITEIT-BACKUP,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EXCITEIT-BACKUP_PEER,96.234.159.242,FALSE,IPv4-Private-172.16.0.0-12
XSOLIS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,XSOLIS_PEER,34.224.47.117,FALSE,IPv4-Private-172.16.0.0-12
ALPINE-UNION,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ALPINE-UNION_PEER,74.219.42.146,FALSE,IPv4-Private-172.16.0.0-12
NEXTGEN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,NEXTGEN_PEER,206.71.166.162,FALSE,IPv4-Private-172.16.0.0-12
WIZARD-SOFTWARE-SOLUTIONS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,WIZARD-SOFTWARE-SOLUTIONS_PEER,64.64.194.4,FALSE,IPv4-Private-172.16.0.0-12
CLEARSENSE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CLEARSENSE_PEER,8.34.30.52,FALSE,IPv4-Private-172.16.0.0-12
KPMG,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,KPMG_PEER,103.110.195.10,FALSE,IPv4-Private-172.16.0.0-12
LIFEBANC,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LIFEBANC_PEER,38.67.195.31,FALSE,IPv4-Private-172.16.0.0-12
INDIAN-RIVER,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,INDIAN-RIVER_PEER,12.152.73.126,FALSE,IPv4-Private-172.16.0.0-12
GENOVA-DIAGNOSTICS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,GENOVA-DIAGNOSTICS_PEER,108.166.100.192,FALSE,IPv4-Private-172.16.0.0-12
ORDR,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ORDR_PEER,12.111.82.240,FALSE,IPv4-Private-172.16.0.0-12
SIEMENS-CLIENT-OUTLOOK-EUNITY,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SIEMENS-CLIENT-OUTLOOK-EUNITY_PEER,206.174.182.186,FALSE,IPv4-Private-172.16.0.0-12
VERGE-2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,VERGE-2_PEER,52.73.189.115,FALSE,IPv4-Private-172.16.0.0-12
GYANT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,GYANT_PEER,54.158.166.162,FALSE,IPv4-Private-172.16.0.0-12
WADSWORTH-AIRPORT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,WADSWORTH-AIRPORT_PEER,67.23.144.117,FALSE,IPv4-Private-172.16.0.0-12
BURKE-AIRPORT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,BURKE-AIRPORT_PEER,70.62.8.98,FALSE,IPv4-Private-172.16.0.0-12
ARUP,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ARUP_PEER,192.69.2.30,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-TRANSPORT1,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-TRANSPORT1_PEER,107.89.142.86,FALSE,IPv4-Private-172.16.0.0-12
HC1-2019,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,HC1-2019_PEER,3.13.196.225,FALSE,IPv4-Private-172.16.0.0-12
LAKEPOINT,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LAKEPOINT_PEER,204.16.89.30,FALSE,IPv4-Private-172.16.0.0-12
ESO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ESO_PEER,40.84.50.207,FALSE,IPv4-Private-172.16.0.0-12
CLEARSENSE-2019,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CLEARSENSE-2019_PEER,72.29.123.52,FALSE,IPv4-Private-172.16.0.0-12
INTEROPTEX,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,INTEROPTEX_PEER,100.24.212.45,FALSE,IPv4-Private-172.16.0.0-12
COLE-VISION-VAN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,COLE-VISION-VAN_PEER,107.91.176.80,FALSE,IPv4-Private-172.16.0.0-12
MICROMD-2019,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MICROMD-2019_PEER,206.80.100.132,FALSE,IPv4-Private-172.16.0.0-12
PHI-AIR-MEDICAL,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PHI-AIR-MEDICAL_PEER,67.128.127.211,FALSE,IPv4-Private-172.16.0.0-12
